418	280	371	269
555	231	504	216
952	365	891	339
922	267	866	249
850	275	812	256
391	240	331	228
208	192	141	180
394	449	390	446
945	271	882	251
370	275	309	264
370	275	309	264
483	347	440	335
328	253	263	242
545	98	491	82
32	484	44	511
239	444	218	448
700	270	658	253
500	627	530	621
931	575	918	539
935	573	920	536
935	573	920	536
746	176	690	160
519	300	401	310
382	269	321	258
319	374	267	369
732	249	677	232
732	249	677	232
574	278	532	263
535	302	401	310
938	570	923	534
315	273	249	263
304	149	237	133
525	326	483	312
525	326	483	312
319	572	347	580
732	176	677	160
932	372	873	347
619	337	566	321
836	71	776	59
836	71	776	59
809	176	750	160
940	635	940	595
512	257	464	243
580	299	539	285
110	262	31	257
341	454	273	451
329	372	277	365
490	350	448	338
717	253	662	236
550	61	624	104
472	322	428	310
926	395	869	368
828	271	768	253
278	348	218	342
271	177	201	163
830	207	770	191
749	489	731	466
854	361	804	338
441	265	384	252
396	241	331	228
564	226	513	210
861	320	804	299
923	358	865	333
923	358	865	333
591	113	538	97
689	457	666	438
931	507	901	474
860	364	810	341
439	173	381	158
420	307	374	297
245	371	185	368
328	120	262	103
454	172	397	157
102	370	25	373
449	364	405	354
721	70	667	56
627	174	574	158
627	174	574	158
644	173	591	157
819	396	772	373
89	369	10	372
89	369	10	372
864	362	813	339
859	361	808	338
356	341	299	333
126	232	46	223
509	115	454	99
870	390	818	365
527	91	473	74
379	272	318	260
379	272	318	260
669	348	628	331
669	348	628	331
935	382	876	356
737	63	682	49
140	392	72	395
292	149	222	133
213	205	147	193
292	608	330	620
416	283	369	272
134	197	56	185
133	192	55	180
967	300	906	278
140	387	71	389
371	173	309	158
371	173	309	158
729	69	675	55
376	314	316	304
126	227	45	217
226	356	162	352
401	241	346	228
924	360	866	336
280	183	211	169
909	368	852	343
552	107	498	91
552	107	498	91
496	257	453	243
498	376	456	364
221	297	157	291
745	260	651	241
745	260	651	241
404	364	358	355
594	288	553	273
563	384	524	370
414	241	360	229
347	304	284	294
700	183	646	167
660	349	619	332
791	361	745	340
791	361	745	340
738	144	683	129
738	144	683	129
438	548	444	544
465	622	494	619
442	284	396	272
442	284	396	272
554	65	765	165
130	505	692	77
689	289	636	271
469	623	499	619
647	157	400	144
667	352	625	334
667	352	625	334
143	382	73	383
952	616	946	575
195	374	130	374
541	350	500	336
663	170	609	154
295	321	233	314
366	270	313	259
253	256	186	247
229	360	167	357
351	168	474	122
322	354	264	347
432	88	391	70
255	294	188	287
245	365	185	362
790	258	732	240
948	367	896	285
670	352	628	335
670	352	628	335
345	279	281	268
186	406	130	408
705	258	651	241
668	113	614	98
668	113	614	98
606	184	732	170
906	628	910	591
744	24	690	11
931	572	777	623
260	319	194	313
317	303	252	294
317	303	252	294
340	278	277	267
648	92	397	81
471	339	428	327
401	247	356	234
119	355	42	355
559	288	518	273
559	288	518	273
336	278	272	267
562	181	509	166
278	371	222	367
802	296	648	275
288	455	273	457
344	600	366	606
374	307	313	296
323	278	258	267
361	292	299	276
529	174	475	158
577	632	607	620
879	310	789	308
344	302	281	292
370	115	219	101
942	274	879	253
